month,smb,hml,umd,rf,rm,rmrf
1980m10,.0000364,-.07261682,.04129683,.0112461011,.060244985,.04899888
1980m11,.00616493,-.01852717,.00696386,.0102016858,.008132894,-.00206879
1980m12,.00235637,-.00167116,.01586914,.0102521974,-.0440981129,-.05435031
1981m1,.02026328,.00562219,.01424536,.0099491671,-.005982036,-.0159312
1981m2,-.00805504,.02221654,.00608652,.0091751695,.0577034485,.04852828
1981m3,.04768562,-.01117393,.02115283,.0091331213,.0232665396,.01413342
1981m4,-.00988139,.07669707,-.0683694,.0089229074,.077022185,.06809928
1981m5,.04444705,-.01160645,.02243358,.0090742572,-.0452445088,-.05431877
1981m6,-.01701435,-.02613062,.07177751,.0093938478,.0206095029,.01121566
1981m7,.01027925,-.01840889,.01390542,.0108332592,.0011006052,-.00973265
1981m8,-.0240125,.00406842,.02667275,.0103784864,.0523228923,.04194441
1981m9,.01153225,.03058684,-.03228693,.0118024388,-.1632249537,-.17502739
1981m10,.00414804,-.01088349,-.01344999,.0121988062,.0335505391,.02135173
1981m11,-.03219194,.02089796,.00330574,.010799566,.1060554087,.09525584
1981m12,.0297391,.02043069,.00939755,.0115579491,-.0014988756,-.01305682
1982m1,.00677975,.04199374,.02514037,.0106142691,.0618365451,.05122228
1982m2,.03408546,.00133328,.03677162,.0104458477,-.037672069,-.04811792
1982m3,-.01374716,-.01432566,-.00489508,.0098734237,.035619709,.02574629
1982m4,-.01341474,-.01317134,-1.302e-06,.0102185229,.0094443186,-.0007742
1982m5,-.00723299,-.00561746,.04036714,.0099912492,.0334471913,.02345594
1982m6,-.00292305,-.01083117,.04354397,.0096882972,-.0386339143,-.04832221
1982m7,.0047621,-.04745413,.03191795,.0087967996,.0394585987,.0306618
1982m8,-.02902472,-.00884551,.01038469,.0079144886,.0331372022,.02522271
1982m9,-.01685531,-.06743607,.10438186,.0079480862,.0587616831,.0508136
1982m10,-.00725783,.03184216,.00250076,.0070749099,.026340949,.01926604
1982m11,.03311322,-.07309601,.07047138,.007973285,.0200993247,.01212604
1982m12,-.01289833,-.00499058,-.00282141,.0077633127,.022550503,.01478719
1983m1,.02608607,.05475615,-.03006718,.0086875192,.0379005803,.02921306
1983m2,.02995182,-.01073409,-.00695311,.0086202758,.0152145814,.00659431
1983m3,.00411843,.05621259,-.02268868,.0081412949,.0357232779,.02758198
1983m4,-.02948415,.04729225,-.05266851,.0077297212,.0705794026,.06284968
1983m5,-.00870192,-.00617171,-.02217466,.0077381191,.00020002,-.0075381
1983m6,-.00810348,.02022712,.00063896,.0074358429,.0511659735,.04373013
1983m7,.02393333,-.00403947,.04303878,.0075114035,-.0230306505,-.03054205
1983m8,-.01944574,.03414794,.03356662,.0074694246,.013794275,.00632485
1983m9,-.0046675,.01124318,.00149215,.0071840155,-.0067769324,-.01396095
1983m10,-.01881216,.037307,-.02650421,.0070749099,-.0142968156,-.02137173
1983m11,-.0022108,.00265613,.022254,.0071000869,.060138968,.05303888
1983m12,-.00455747,.02420114,.01104298,.0070833024,.022652763,.01556946
1984m1,.00842558,.04336253,.0264665,.0071000869,.0694024167,.06230233
1984m2,.02168877,.01279275,.00304591,.0070916943,-.0128171521,-.01990885
1984m3,-.0299352,-.00121378,.01603896,.0067308845,.0669456157,.06021473
1984m4,-.02987512,.00389963,.01989614,.0067141062,.0239830776,.01726897
1984m5,.01453304,.01581536,-.02430453,.0071924089,-.1040762748,-.11126868
1984m6,-.00314333,.03377913,-.0081101,.0071000869,.0262383202,.01913823
1984m7,-.00115919,.02498301,-.01254443,.0090069879,-.0223465337,-.03135352
1984m8,.00420359,-.00911285,-.01628864,.007922888,.1004288893,.092506
1984m9,-.00935101,-.01865668,-.00195623,.007956486,.0335505391,.02559405
1984m10,-.00535138,.0152022,.02094513,.007880892,.0181629756,.01028208
1984m11,.00890498,-.0170814,.04880069,.0072511633,.0347915459,.02754038
1984m12,.00088026,-.00105396,.03929704,.0073015273,.0622613679,.05495984
1985m1,-.0056799,.02770506,.02860767,.0091331213,.0402905008,.03115738
1985m2,.03020736,-.00248675,.00424881,.0105637401,-.0069755573,-.0175393
1985m3,.01982087,.00400114,.02259472,.0097556119,.0170436121,.007288
1985m4,.00102429,.00330809,.00015137,.0094190827,.0133888382,.00396976
1985m5,.005565,.02851362,.02081116,.0093433791,.0231642182,.01382084
1985m6,-.00934842,.0508094,.01382065,.0094611428,-.0571046713,-.06656581
1985m7,.0036823,-.00040823,.00497476,.0087211427,.0223460137,.01362487
1985m8,-.00376855,-.00554802,.00289139,.0087379551,.0696163142,.06087836
1985m9,.01588182,.03662229,.05017652,.0087379551,-.0272225997,-.03596055
1985m10,.00456269,-.00255815,.04343888,.0088388338,.0747628135,.06592398
1985m11,-.02106787,-.01617122,.00641312,.0087463614,.0422689302,.03352257
1985m12,-.00475763,.02289749,-.03542143,.0088640549,-.0159710883,-.02483514
1986m1,.02517495,.03673678,-.00248833,.0095620944,.0233688712,.01380678
1986m2,-.00284758,-.02464302,.01429938,.009377025,.0817715235,.0723945
1986m3,-.01253125,-.0012775,.07942305,.0085446321,.0828538383,.07430921
1986m4,.06446004,.00972533,-.00909251,.0078556955,.010454268,.00259857
1986m5,.01749225,.02313521,.00628539,.0074694246,-.0305244264,-.03799385
1986m6,.01094519,.01435412,.01011169,.0074442384,.0372780278,.02983379
1986m7,.02207925,.00424623,-.00554805,.0076121595,-.0505761949,-.05818835
1986m8,-.04546735,-.01224789,-.03028082,.0074694246,.0620489333,.05457951
1986m9,.01885196,.03664857,.0093831,.0077381191,-.0557836921,-.06352181
1986m10,-.00294197,.0314265,-.01713988,.0084017651,.0535864395,.04518467
1986m11,.01594992,.02662328,-.01435267,.0084858023,.0133888382,.00490304
1986m12,.00124297,.03217289,-.00938976,.008468994,.0281900252,.01972103
1987m1,.01103578,.0102801,.0249952,.0084017651,.0844793412,.07607758
1987m2,-.01350255,-.05271431,.00100289,.0081244924,.0914422628,.08331777
1987m3,.04471848,.04713652,.02928288,.0074526339,.0200993247,.01264669
1987m4,.00194858,.01573741,-.01325408,.0073434992,.026340949,.01899745
1987m5,.00535099,.00226091,.01443002,.0068147824,.0748702969,.06805551
1987m6,.06726263,.04726884,.0601596,.0070245572,.0535864395,.04656188
